feature,age_lo,age_hi,sex,lo,hi,n_raw,n_weighted,events_weighted,rate
ATC95,0,50,0,0.0,3776.799999999999,154,2304.491499999999,1.0,0.00043393520870005397
ATC95,0,50,0,3776.799999999999,6076.0,77,1074.9404999999997,6.0,0.005581704289679291
ATC95,0,50,0,6076.0,7424.0,77,1103.0514999999996,4.0,0.0036263039395712723
ATC95,0,50,0,7424.0,8519.0,75,1086.9959999999996,3.0,0.002759899760440702
ATC95,0,50,0,8519.0,9517.800000000001,78,1075.9404999999997,7.0,0.00650593596950761
ATC95,0,50,0,9517.800000000001,10364.4,77,1074.9404999999997,6.0,0.005581704289679291
ATC95,0,50,0,10364.4,11329.199999999999,77,1060.8849999999998,7.0,0.00659826465639537
ATC95,0,50,0,11329.199999999999,12328.0,76,1017.7185000000002,9.0,0.008843309815042173
ATC95,0,50,0,12328.0,13451.0,77,1131.1624999999995,2.0,0.0017680925596454983
ATC95,0,50,0,13451.0,14586.6,77,1060.8849999999998,7.0,0.00659826465639537
ATC95,0,50,0,14586.6,15593.6,77,1103.0514999999996,4.0,0.0036263039395712723
ATC95,0,50,0,15593.6,17271.600000000002,77,1117.1069999999995,3.0,0.0026855081921427415
ATC95,0,50,0,17271.600000000002,19965.800000000003,77,1088.9959999999996,5.0,0.004591385092323573
ATC95,0,50,0,19965.800000000003,49466.0,77,1088.9959999999996,5.0,0.004591385092323573
ATC95,0,50,1,0.0,2884.266666666667,54,798.9415000000004,1.0,0.0012516560974739697
ATC95,0,50,1,2884.266666666667,7051.8,27,322.1655,6.0,0.018623968115766585
ATC95,0,50,1,7051.8,9209.933333333334,27,378.3875,2.0,0.00528558686531664
ATC95,0,50,1,9209.933333333334,10604.666666666666,27,378.3875,2.0,0.00528558686531664
ATC95,0,50,1,10604.666666666666,11650.800000000003,27,350.2765,4.0,0.011419549984084003
ATC95,0,50,1,11650.800000000003,13055.066666666666,27,392.443,1.0,0.0025481407491024176
ATC95,0,50,1,13055.066666666666,14292.333333333334,26,391.443,0.0,0.0
ATC95,0,50,1,14292.333333333334,15109.199999999999,27,392.443,1.0,0.0025481407491024176
ATC95,0,50,1,15109.199999999999,16035.666666666664,27,392.443,1.0,0.0025481407491024176
ATC95,0,50,1,16035.666666666664,17313.13333333333,27,406.4985,0.0,0.0
ATC95,0,50,1,17313.13333333333,19279.000000000007,27,378.3875,2.0,0.00528558686531664
ATC95,0,50,1,19279.000000000007,20854.266666666666,27,378.3875,2.0,0.00528558686531664
ATC95,0,50,1,20854.266666666666,23163.2,27,392.443,1.0,0.0025481407491024176
ATC95,0,50,1,23163.2,47554.0,27,392.443,1.0,0.0025481407491024176
ATC95,50,60,0,0.0,3695.4,80,1091.9959999999999,8.0,0.007326034161297295
ATC95,50,60,0,3695.4,5539.8,39,516.8870000000001,5.0,0.009673294162940835
ATC95,50,60,0,5539.8,6862.0,40,489.77600000000007,8.0,0.016333997582568354
ATC95,50,60,0,6862.0,8072.0,39,516.8870000000001,5.0,0.009673294162940835
ATC95,50,60,0,8072.0,9086.0,40,517.8870000000001,6.0,0.01158553893030719
ATC95,50,60,0,9086.0,9919.0,40,503.83150000000006,7.0,0.01389353385010663
