feature,age_lo,age_hi,sex,lo,hi,n_raw,n_weighted,events_weighted,rate
HR_RANGE,0,50,0,12.0,33.0,58,802.9415000000001,5.0,0.006227103718016816
HR_RANGE,0,50,0,33.0,36.0,68,883.2190000000002,10.0,0.01132222019680283
HR_RANGE,0,50,0,36.0,38.0,72,971.5519999999999,8.0,0.008234247883798295
HR_RANGE,0,50,0,38.0,40.0,86,1182.3289999999995,8.0,0.006766306163512866
HR_RANGE,0,50,0,40.0,41.0,56,814.997,2.0,0.0024539967631782697
HR_RANGE,0,50,0,41.0,42.0,68,995.6630000000001,2.0,0.0020087117830028833
HR_RANGE,0,50,0,42.0,43.0,52,740.7195000000002,3.0,0.00405011613708023
HR_RANGE,0,50,0,43.0,44.0,60,875.2190000000002,2.0,0.0022851423472296643
HR_RANGE,0,50,0,44.0,46.0,119,1721.3269999999993,5.0,0.0029047357068122453
HR_RANGE,0,50,0,46.0,47.0,59,803.9415000000001,6.0,0.007463229600661241
HR_RANGE,0,50,0,47.0,48.0,55,799.9415000000004,2.0,0.0025001828258691405
HR_RANGE,0,50,0,48.0,50.0,77,1131.1624999999995,2.0,0.0017680925596454983
HR_RANGE,0,50,0,50.0,52.0,71,1040.8295,2.0,0.0019215443067284314
HR_RANGE,0,50,0,52.0,56.0,84,1194.3844999999997,5.0,0.004186256603296511
HR_RANGE,0,50,0,56.0,125.0,82,1206.4399999999996,2.0,0.001657769967839263
HR_RANGE,0,50,1,9.0,36.0,22,289.05449999999996,3.0,0.010378665614961886
HR_RANGE,0,50,1,36.0,39.0,25,334.221,3.0,0.008976096654608776
HR_RANGE,0,50,1,41.0,43.0,32,467.7205,1.0,0.002138029015191765
HR_RANGE,0,50,1,45.0,46.0,26,335.221,4.0,0.01193242666778036
HR_RANGE,0,50,1,46.0,47.73333333333332,44,662.4420000000002,0.0,0.0
HR_RANGE,0,50,1,47.73333333333332,49.0,22,331.221,0.0,0.0
HR_RANGE,0,50,1,50.0,51.0,24,361.332,0.0,0.0
HR_RANGE,0,50,1,51.0,53.0,30,437.60949999999997,1.0,0.002285142347229665
HR_RANGE,0,50,1,53.0,56.0,30,437.60949999999997,1.0,0.002285142347229665
HR_RANGE,0,50,1,56.0,59.53333333333336,28,407.4985,1.0,0.0024539967631782697
HR_RANGE,0,50,1,59.53333333333336,126.0,25,320.1655,4.0,0.012493538498058036
HR_RANGE,50,60,0,18.0,30.0,34,413.49850000000004,7.0,0.016928719209380445
HR_RANGE,50,60,0,30.0,33.0,30,409.4985,3.0,0.0073260341612972945
HR_RANGE,50,60,0,33.0,35.0,45,550.9980000000002,9.0,0.016333997582568354
HR_RANGE,50,60,0,35.0,36.0,20,258.9435,3.0,0.011585538930307192
HR_RANGE,50,60,0,36.0,38.0,57,731.6640000000001,9.0,0.012300728203109623
HR_RANGE,50,60,0,38.0,39.0,28,365.332,4.0,0.010948945069142589
HR_RANGE,50,60,0,39.0,40.0,40,531.9425000000001,5.0,0.009399512165318619
HR_RANGE,50,60,0,40.0,41.0,34,441.6095,5.0,0.01132222019680283
HR_RANGE,50,60,0,41.0,42.0,36,457.665,6.0,0.013110025892301137
HR_RANGE,50,60,0,42.0,43.0,31,424.554,3.0,0.007066238923670487
HR_RANGE,50,60,0,43.0,44.0,33,426.55400000000003,5.0,0.01172184529977447
HR_RANGE,50,60,0,44.0,46.0,50,696.5530000000001,4.0,0.005742563738868398
HR_RANGE,50,60,0,46.0,48.4666666666667,47,623.2755000000004,6.0,0.00962656160879097
HR_RANGE,50,60,0,48.4666666666667,52.73333333333335,37,500.8315,4.0,0.007986718087819955
HR_RANGE,50,60,0,52.73333333333335,75.0,38,515.8870000000001,4.0,0.007753635970667994
HR_RANGE,50,60,1,39.0,41.0,21,231.83249999999998,6.0,0.025880754423991462
HR_RANGE,60,70,0,14.0,28.0,38,347.221,16.0,0.046080162202170954
HR_RANGE,60,70,0,28.0,32.0,35,386.3875,10.0,0.02588075442399146
HR_RANGE,60,70,0,32.0,33.0,29,380.3875,4.0,0.010515592652229634
HR_RANGE,60,70,0,33.0,35.0,60,720.6085000000003,13.0,0.01804030898886149
HR_RANGE,60,70,0,35.0,36.0,27,350.2765,4.0,0.011419549984084003
HR_RANGE,60,70,0,36.0,37.60000000000002,61,763.7750000000002,11.0,0.014402147229223262
HR_RANGE,60,70,0,37.60000000000002,39.0,40,503.83150000000006,7.0,0.01389353385010663
HR_RANGE,60,70,0,39.0,40.0,30,409.4985,3.0,0.0073260341612972945
HR_RANGE,60,70,0,40.0,42.0,54,602.1645000000003,15.0,0.02491013668191996
HR_RANGE,60,70,0,42.0,43.0,30,311.11,10.0,0.03214297193918549
HR_RANGE,60,70,0,43.0,44.0,30,451.66499999999996,0.0,0.0
HR_RANGE,60,70,0,44.0,47.0,64,837.0525,9.0,0.010752013762577615
HR_RANGE,60,70,0,47.0,49.0,35,428.55400000000003,7.0,0.016333997582568358
HR_RANGE,60,70,0,49.0,53.0,49,597.1645000000001,10.0,0.016745804547993053
HR_RANGE,60,70,0,53.0,83.0,43,534.9425000000001,8.0,0.0149548783280446
HR_RANGE,60,70,1,34.0,36.0,24,276.999,6.0,0.021660728017068653
HR_RANGE,60,70,1,39.0,41.0,24,234.83250000000004,9.0,0.03832518923062182
HR_RANGE,60,70,1,42.0,44.0,27,322.1655,6.0,0.018623968115766585
HR_RANGE,60,70,1,45.0,47.0,21,231.83249999999998,6.0,0.025880754423991462
HR_RANGE,60,70,1,51.0,55.26666666666665,27,251.888,11.0,0.0436702026297402
HR_RANGE,70,200,0,7.0,27.0,46,397.3875,21.0,0.05284514485231669
HR_RANGE,70,200,0,27.0,30.0,43,450.6095000000001,14.0,0.031069029836255112
HR_RANGE,70,200,0,30.0,32.0,52,586.1090000000003,14.0,0.023886341960283827
HR_RANGE,70,200,0,32.0,34.0,68,728.6085000000003,21.0,0.028822062877388876
HR_RANGE,70,200,0,34.0,35.0,38,375.332,14.0,0.037300310125435616
HR_RANGE,70,200,0,35.0,37.0,83,841.9970000000002,29.0,0.03444192794036083
HR_RANGE,70,200,0,37.0,38.0,39,488.776,7.0,0.014321488780136504
HR_RANGE,70,200,0,38.0,39.0,64,668.3865000000001,21.0,0.03141894697155014
HR_RANGE,70,200,0,39.0,40.0,43,450.6095000000001,14.0,0.031069029836255112
HR_RANGE,70,200,0,40.0,41.0,40,475.7205000000001,9.0,0.018918671783116344
HR_RANGE,70,200,0,41.0,43.0,74,776.7750000000001,24.0,0.030896977889350193
HR_RANGE,70,200,0,43.0,45.0,56,646.331,14.0,0.021660728017068653
HR_RANGE,70,200,0,45.0,47.0,55,631.2755000000004,14.0,0.02217732194580653
HR_RANGE,70,200,0,47.0,52.0,80,909.2745,21.0,0.02309533589691562
HR_RANGE,70,200,0,52.0,108.0,59,705.5530000000002,13.0,0.018425263587568894
HR_RANGE,70,200,1,18.0,27.0,44,353.221,22.0,0.062283952539628165
HR_RANGE,70,200,1,27.0,30.0,43,436.55400000000003,15.0,0.03436001044544317
HR_RANGE,70,200,1,30.0,32.0,40,363.27650000000006,17.0,0.04679631079907453
HR_RANGE,70,200,1,32.0,34.0,49,386.33200000000005,25.0,0.0647111810567077
HR_RANGE,70,200,1,34.0,36.0,61,651.3310000000002,19.0,0.02917103592489839
HR_RANGE,70,200,1,36.0,37.0,32,270.94350000000003,15.0,0.05536209578749812
HR_RANGE,70,200,1,37.0,39.0,54,475.665,24.0,0.05045567784049699
HR_RANGE,70,200,1,39.0,40.0,38,290.999,20.0,0.0687287585180705
HR_RANGE,70,200,1,40.0,42.0,73,691.4420000000001,29.0,0.0419413341972284
HR_RANGE,70,200,1,42.0,43.0,36,387.38750000000005,11.0,0.028395340582749826
HR_RANGE,70,200,1,43.0,45.0,47,552.9980000000002,11.0,0.019891572844748077
HR_RANGE,70,200,1,45.0,48.0,60,565.9980000000003,24.0,0.04240297668896355
HR_RANGE,70,200,1,48.0,51.0,46,467.665,16.0,0.03421252392203821
HR_RANGE,70,200,1,51.0,55.0,52,572.0535000000002,15.0,0.02622132370486326
HR_RANGE,70,200,1,55.0,78.0,50,527.8870000000002,16.0,0.030309516998903163
