feature,age_lo,age_hi,sex,lo,hi,n_raw,n_weighted,events_weighted,rate
HR_rest,0,50,0,41.0,51.0,56,843.108,0.0,0.0
HR_rest,0,50,0,51.0,54.0,66,951.4965,3.0,0.003152928045452611
HR_rest,0,50,0,54.0,56.0,53,699.5530000000002,7.0,0.010006389794625994
HR_rest,0,50,0,56.0,58.0,91,1313.8284999999996,4.0,0.0030445373958625506
HR_rest,0,50,0,58.0,60.0,89,1283.7174999999997,4.0,0.0031159503551209675
HR_rest,0,50,0,60.0,61.0,50,710.6085,3.0,0.004221733908333491
HR_rest,0,50,0,61.0,62.0,51,697.5530000000002,5.0,0.007167914122654477
HR_rest,0,50,0,62.0,63.5333333333333,113,1616.9384999999997,6.0,0.003710716270284863
HR_rest,0,50,0,63.5333333333333,65.0,59,874.2190000000002,1.0,0.0011438781357989243
HR_rest,0,50,0,65.0,66.0,58,816.9970000000001,4.0,0.004895978810203709
HR_rest,0,50,0,66.0,68.0,81,1177.3289999999997,3.0,0.002548140749102418
HR_rest,0,50,0,68.0,70.0,70,955.4965000000002,7.0,0.007326034161297293
HR_rest,0,50,0,70.0,72.0,60,804.9415000000001,7.0,0.008696284139903334
HR_rest,0,50,0,72.0,76.0,88,1282.7174999999997,3.0,0.002338784650556339
HR_rest,0,50,0,76.0,96.0,82,1136.1625,7.0,0.006161090513020805
HR_rest,0,50,1,41.0,47.0,20,301.11,0.0,0.0
HR_rest,0,50,1,47.0,49.93333333333333,29,380.3875,4.0,0.010515592652229634
HR_rest,0,50,1,51.0,53.0,27,406.4985,0.0,0.0
HR_rest,0,50,1,53.0,54.0,22,317.16549999999995,1.0,0.003152928045452611
HR_rest,0,50,1,55.0,56.26666666666668,43,633.3310000000002,1.0,0.0015789531856169991
HR_rest,0,50,1,58.0,60.0,26,363.332,2.0,0.005504607356357271
HR_rest,0,50,1,60.0,62.0,23,318.16549999999995,2.0,0.006286036669594913
HR_rest,0,50,1,62.0,64.0,29,408.4985,2.0,0.004895978810203709
HR_rest,0,50,1,64.0,66.0,26,335.221,4.0,0.01193242666778036
HR_rest,0,50,1,66.0,69.0,28,421.554,0.0,0.0
HR_rest,0,50,1,69.0,73.0,21,316.1655,0.0,0.0
HR_rest,0,50,1,73.0,92.0,29,380.3875,4.0,0.010515592652229634
HR_rest,50,60,0,43.0,52.0,37,458.665,7.0,0.015261683363675012
HR_rest,50,60,0,52.0,55.0,29,366.332,5.0,0.013648821287793586
HR_rest,50,60,0,55.0,57.0,35,470.7205,4.0,0.008497611640028425
HR_rest,50,60,0,57.0,59.0,43,534.9425000000001,8.0,0.0149548783280446
HR_rest,50,60,0,59.0,60.0,33,454.665,3.0,0.006598264656395368
HR_rest,50,60,0,60.0,61.0,23,332.22099999999995,1.0,0.00301004451855843
HR_rest,50,60,0,61.0,62.0,27,364.332,3.0,0.008234247883798293
HR_rest,50,60,0,62.0,64.0,63,807.9415000000004,10.0,0.012377133740499771
HR_rest,50,60,0,64.0,66.0,43,591.1645000000002,4.0,0.006766306163512861
HR_rest,50,60,0,66.0,68.0,33,398.44300000000004,7.0,0.017568384938372615
HR_rest,50,60,0,68.0,69.0,29,380.3875,4.0,0.010515592652229634
HR_rest,50,60,0,69.0,71.0,44,620.2755000000002,3.0,0.004836560528345871
HR_rest,50,60,0,71.0,73.0,33,440.6095,4.0,0.009078333535704518
HR_rest,50,60,0,73.0,77.0,48,638.331,6.0,0.00939951216531862
HR_rest,50,60,0,77.0,96.0,40,489.77600000000007,8.0,0.016333997582568354
HR_rest,60,70,0,41.0,50.0,36,415.49850000000004,9.0,0.021660728017068653
HR_rest,60,70,0,50.0,53.0,31,368.332,7.0,0.019004593681787085
HR_rest,60,70,0,53.0,55.0,49,639.331,7.0,0.010948945069142587
HR_rest,60,70,0,55.0,56.0,39,488.776,7.0,0.014321488780136504
HR_rest,60,70,0,56.0,58.0,53,573.0535000000003,16.0,0.027920604271677935
HR_rest,60,70,0,58.0,59.0,26,307.11,6.0,0.019536973722770343
HR_rest,60,70,0,59.0,60.0,39,474.7205,8.0,0.016852021347298043
HR_rest,60,70,0,60.0,61.80000000000001,60,804.9415000000001,7.0,0.008696284139903334
HR_rest,60,70,0,61.80000000000001,63.0,31,368.332,7.0,0.019004593681787085
HR_rest,60,70,0,63.0,64.0,25,306.11,5.0,0.016333997582568358
HR_rest,60,70,0,64.0,66.0,62,778.8305000000003,11.0,0.014123740659873998
HR_rest,60,70,0,66.0,68.0,48,610.22,8.0,0.013110025892301137
HR_rest,60,70,0,68.0,70.0,35,470.7205,4.0,0.008497611640028425
HR_rest,60,70,0,70.0,74.0,45,466.665,15.0,0.03214297193918549
HR_rest,60,70,0,74.0,89.0,46,551.9980000000002,10.0,0.01811600766669444
HR_rest,60,70,1,47.0,48.46666666666667,20,258.9435,3.0,0.011585538930307192
HR_rest,60,70,1,52.0,54.0,25,306.11,5.0,0.016333997582568358
HR_rest,60,70,1,54.0,56.0,25,249.88800000000003,9.0,0.0360161352285824
HR_rest,60,70,1,60.0,61.0,21,217.777,7.0,0.0321429719391855
HR_rest,60,70,1,61.0,63.0,28,295.0545,9.0,0.030502839305958727
HR_rest,60,70,1,63.0,65.0,22,260.9435,5.0,0.01916123605301531
HR_rest,60,70,1,65.0,68.26666666666665,20,216.777,6.0,0.02767821309456262
HR_rest,70,200,0,39.0,49.0,42,463.6650000000001,12.0,0.025880754423991455
HR_rest,70,200,0,49.0,52.0,59,705.5530000000002,13.0,0.018425263587568894
HR_rest,70,200,0,52.0,54.0,66,726.6085,19.0,0.02614888210088376
HR_rest,70,200,0,54.0,55.0,42,519.8870000000001,8.0,0.015387959306541613
HR_rest,70,200,0,55.0,56.0,41,462.6650000000001,11.0,0.023775301784228327
HR_rest,70,200,0,56.0,58.0,79,852.0525000000004,24.0,0.02816727842474494
HR_rest,70,200,0,58.0,59.0,48,568.0535,11.0,0.019364373250054794
HR_rest,70,200,0,59.0,60.0,44,437.55400000000003,16.0,0.03656691516932767
HR_rest,70,200,0,60.0,61.39999999999998,83,827.9415000000001,30.0,0.03623444410021722
HR_rest,70,200,0,61.39999999999998,63.0,44,479.7205,13.0,0.027099112920961267
HR_rest,70,200,0,63.0,64.0,35,386.3875,10.0,0.02588075442399146
HR_rest,70,200,0,64.0,66.0,86,943.3855000000003,25.0,0.02650030130842587
HR_rest,70,200,0,66.0,67.0,38,262.888,22.0,0.08368582818538695
HR_rest,70,200,0,67.0,70.0,60,734.6640000000002,12.0,0.016333997582568354
HR_rest,70,200,0,70.0,87.0,73,761.7195,24.0,0.031507661284764274
HR_rest,70,200,1,37.0,45.0,42,477.7205000000001,11.0,0.02302601625846075
HR_rest,70,200,1,45.0,47.0,32,299.0545,13.0,0.043470337346537165
HR_rest,70,200,1,47.0,49.0,52,543.9425000000002,17.0,0.03125330342821161
HR_rest,70,200,1,49.0,51.0,56,646.331,14.0,0.021660728017068653
HR_rest,70,200,1,51.0,52.0,37,318.11,17.0,0.053440633743044856
HR_rest,70,200,1,52.0,54.0,68,616.1645000000003,29.0,0.04706535348920619
HR_rest,70,200,1,54.0,55.0,45,480.7205000000001,14.0,0.029122951902404822
HR_rest,70,200,1,55.0,56.0,35,386.3875,10.0,0.02588075442399146
HR_rest,70,200,1,56.0,57.0,36,345.221,14.0,0.04055373224687953
HR_rest,70,200,1,57.0,59.0,72,746.664,24.0,0.0321429719391855
HR_rest,70,200,1,59.0,60.0,28,309.11,8.0,0.02588075442399146
HR_rest,70,200,1,60.0,62.0,65,613.1645000000001,26.0,0.04240297668896356
HR_rest,70,200,1,62.0,64.0,49,386.33200000000005,25.0,0.0647111810567077
HR_rest,70,200,1,64.0,69.0,58,465.6095,29.0,0.06228395253962816
HR_rest,70,200,1,69.0,83.0,50,359.221,28.0,0.07794644522452752
